Comment,Designator,Footprint,LCSC
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
JST SH 4-pin,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C145956
10u,C4,C_0805_2012Metric,C15850
10k,"R1,R4",R_0805_2012Metric,C17414
22,"R2,R3",R_0805_2012Metric,C17561
22p,"C5,C6",C_0805_2012Metric,C1804
1u,"MX1,MX10,MX11,MX12,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX2,MX20,MX21,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX29,MX3,MX30,MX31,MX32,MX33,MX34,MX35,MX36,MX37,MX38,MX39,MX4,MX40,MX41,MX42,MX43,MX44,MX45,MX46,MX47,MX48,MX49,MX5,MX50,MX51,MX52,MX53,MX54,MX55,MX56,MX57,MX58,MX59,MX6,MX60,MX61,MX62,MX63,MX64,MX65,MX66,MX67,MX68,MX69,MX7,MX70,MX71,MX72,MX73,MX74,MX75,MX76,MX77,MX78,MX79,MX8,MX9",SW_MX_HS_1u,C2803348
1u,C7,C_0805_2012Metric,C28323
Reset,SW1,SW_SPST_TL3342,C318884
ATmega32U4-AU,U2,TQFP-44_10x10mm_P0.8mm,C44854
0.1u,"C1,C2,C3",C_0805_2012Metric,C49678
500mA,F1,Fuse_1206_3216Metric,C70076
1N4148,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D8,D9",D_SOD-123,C81598
SRV05-4,U1,SOT-23-6,C85364
