Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric,37.06876,-33.91408,-90,bottom
C2,0.1u,C_0805_2012Metric,24.81072,-47.39132,-90,bottom
C3,0.1u,C_0805_2012Metric,31.32836,-46.88332,0,bottom
C4,10u,C_0805_2012Metric,23.114,-27.4066,180,bottom
C5,22p,C_0805_2012Metric,39.86276,-34.64052,180,bottom
C6,22p,C_0805_2012Metric,42.83456,-37.27196,-90,bottom
C7,1u,C_0805_2012Metric,29.1846,-21.4376,-90,bottom
D1,1N4148,D_SOD-123,16.57096,-10.4,90,bottom
D2,1N4148,D_SOD-123,19.56816,-10.4,90,bottom
D3,1N4148,D_SOD-123,36.95192,-10.4,90,bottom
D4,1N4148,D_SOD-123,56.11876,-10.4,90,bottom
D5,1N4148,D_SOD-123,75.23988,-10.4,90,bottom
D6,1N4148,D_SOD-123,94.361,-10.4,90,bottom
D7,1N4148,D_SOD-123,113.411,-10.4,90,bottom
D8,1N4148,D_SOD-123,132.3594,-10.4,90,bottom
D9,1N4148,D_SOD-123,151.4348,-10.4,90,bottom
D10,1N4148,D_SOD-123,170.51528,-10.4,90,bottom
D11,1N4148,D_SOD-123,189.5856,-10.4,90,bottom
D12,1N4148,D_SOD-123,208.51368,-10.4,90,bottom
D13,1N4148,D_SOD-123,227.584,-10.4,90,bottom
D14,1N4148,D_SOD-123,264.18032,-16.54048,90,bottom
D15,1N4148,D_SOD-123,283.23032,-18.60296,90,bottom
D16,1N4148,D_SOD-123,286.02432,-18.60296,90,bottom
D17,1N4148,D_SOD-123,5.49656,-30.60192,90,bottom
D18,1N4148,D_SOD-123,45.95368,-27.89936,90,bottom
D19,1N4148,D_SOD-123,64.78524,-30,90,bottom
D20,1N4148,D_SOD-123,83.1596,-30,90,bottom
D21,1N4148,D_SOD-123,86.14156,-30,90,bottom
D22,1N4148,D_SOD-123,103.86568,-30,90,bottom
D23,1N4148,D_SOD-123,122.78868,-30,90,bottom
D24,1N4148,D_SOD-123,141.78788,-30,90,bottom
D25,1N4148,D_SOD-123,160.78708,-30,90,bottom
D26,1N4148,D_SOD-123,179.98948,-30,90,bottom
D27,1N4148,D_SOD-123,199.00392,-30,90,bottom
D28,1N4148,D_SOD-123,218.04376,-30,90,bottom
D29,1N4148,D_SOD-123,237.25124,-30,90,bottom
D30,1N4148,D_SOD-123,262.74776,-29.99232,90,bottom
D31,1N4148,D_SOD-123,286.25292,-30.07868,90,bottom
D32,1N4148,D_SOD-123,14.00048,-54.67604,180,bottom
D33,1N4148,D_SOD-123,50.275,-49,90,bottom
D34,1N4148,D_SOD-123,53.45,-49,90,bottom
D35,1N4148,D_SOD-123,70.47992,-49,90,bottom
D36,1N4148,D_SOD-123,89.55024,-49,90,bottom
D37,1N4148,D_SOD-123,108.51896,-49,90,bottom
D38,1N4148,D_SOD-123,127.56896,-49,90,bottom
D39,1N4148,D_SOD-123,146.66976,-49,90,bottom
D40,1N4148,D_SOD-123,165.6842,-49,90,bottom
D41,1N4148,D_SOD-123,184.73928,-49,90,bottom
D42,1N4148,D_SOD-123,203.708,-49,90,bottom
D43,1N4148,D_SOD-123,222.85452,-49,90,bottom
D44,1N4148,D_SOD-123,270.764,-50.39868,90,bottom
D45,1N4148,D_SOD-123,286.25292,-49.01692,90,bottom
D46,1N4148,D_SOD-123,20.55876,-73.00976,180,bottom
D47,1N4148,D_SOD-123,43.66768,-67.5,90,bottom
D48,1N4148,D_SOD-123,60.37072,-67.46748,90,bottom
D49,1N4148,D_SOD-123,79.36484,-67.45732,90,bottom
D50,1N4148,D_SOD-123,98.425,-67.45732,90,bottom
D51,1N4148,D_SOD-123,117.91188,-67.49288,90,bottom
D52,1N4148,D_SOD-123,136.97204,-67.47764,90,bottom
D53,1N4148,D_SOD-123,156.01188,-67.47764,90,bottom
D54,1N4148,D_SOD-123,175.09744,-67.50304,90,bottom
D55,1N4148,D_SOD-123,194.12712,-67.44716,90,bottom
D56,1N4148,D_SOD-123,213.1568,-67.46748,90,bottom
D57,1N4148,D_SOD-123,239.32896,-67.44208,90,bottom
D58,1N4148,D_SOD-123,265.5316,-67.437,90,bottom
D59,1N4148,D_SOD-123,284.57144,-67.437,90,bottom
D60,1N4148,D_SOD-123,23.69312,-90.91168,180,bottom
D61,1N4148,D_SOD-123,25.34412,-85.97392,90,bottom
D62,1N4148,D_SOD-123,48.58512,-86.0806,90,bottom
D63,1N4148,D_SOD-123,119.86768,-85.99375,90,bottom
D64,1N4148,D_SOD-123,190.89116,-85.99375,90,bottom
D65,1N4148,D_SOD-123,212.725,-85.99375,90,bottom
D66,1N4148,D_SOD-123,264.52068,-87,90,bottom
D67,1N4148,D_SOD-123,267.7625,-87,90,bottom
D68,1N4148,D_SOD-123,284.70352,-86.98992,90,bottom
D69,1N4148,D_SOD-123,42.00652,-72.24268,180,bottom
D70,1N4148,D_SOD-123,245.0084,-55.26532,0,bottom
F1,500mA,Fuse_1206_3216Metric,24.71,-17.12,0,bottom
J1,JST SH 4-pin,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,66.05,-17.50375,-90,bottom
MX1,1u,SW_MX_HS_1u,9,-9,180,bottom
MX2,1u,SW_MX_HS_1u,28.05,-9,180,bottom
MX3,1u,SW_MX_HS_1u,47.1,-9,180,bottom
MX4,1u,SW_MX_HS_1u,66.15,-9,180,bottom
MX5,1u,SW_MX_HS_1u,85.2,-9,180,bottom
MX6,1u,SW_MX_HS_1u,104.25,-9,180,bottom
MX7,1u,SW_MX_HS_1u,123.3,-9,180,bottom
MX8,1u,SW_MX_HS_1u,142.35,-9,180,bottom
MX9,1u,SW_MX_HS_1u,161.4,-9,180,bottom
MX10,1u,SW_MX_HS_1u,180.45,-9,180,bottom
MX11,1u,SW_MX_HS_1u,199.5,-9,180,bottom
MX12,1u,SW_MX_HS_1u,218.55,-9,180,bottom
MX13,1u,SW_MX_HS_1u,237.6,-9,180,bottom
MX14,1u,SW_MX_HS_1u,256.65,-9,0,bottom
MX15,1u,SW_MX_HS_1u,275.7,-9,0,bottom
MX16,1u,SW_MX_HS_1u,294.75,-9,180,bottom
MX17,2u,SW_MX_HS_1u,266.175,-9,180,bottom
MX18,1.5u,SW_MX_HS_1u,13.7625,-28.05,180,bottom
MX19,1u,SW_MX_HS_1u,37.575,-28.05,180,bottom
MX20,1u,SW_MX_HS_1u,56.625,-28.05,180,bottom
MX21,1u,SW_MX_HS_1u,75.675,-28.05,180,bottom
MX22,1u,SW_MX_HS_1u,94.725,-28.05,180,bottom
MX23,1u,SW_MX_HS_1u,113.775,-28.05,180,bottom
MX24,1u,SW_MX_HS_1u,132.825,-28.05,180,bottom
MX25,1u,SW_MX_HS_1u,151.875,-28.05,180,bottom
MX26,1u,SW_MX_HS_1u,170.925,-28.05,180,bottom
MX27,1u,SW_MX_HS_1u,189.975,-28.05,180,bottom
MX28,1u,SW_MX_HS_1u,209.025,-28.05,180,bottom
MX29,1u,SW_MX_HS_1u,228.075,-28.05,180,bottom
MX30,1u,SW_MX_HS_1u,247.125,-28.05,180,bottom
MX31,1.5u,SW_MX_HS_1u,270.9375,-28.05,90,bottom
MX32,1u,SW_MX_HS_1u,294.75,-28.05,180,bottom
MX33,1.25u,SW_MX_HS_1u,11.38125,-47.1,-90,bottom
MX34,1.75u,SW_MX_HS_1u,16.14375,-47.1,90,bottom
MX35,1u,SW_MX_HS_1u,42.3375,-47.1,180,bottom
MX36,1u,SW_MX_HS_1u,61.3875,-47.1,180,bottom
MX37,1u,SW_MX_HS_1u,80.4375,-47.1,180,bottom
MX38,1u,SW_MX_HS_1u,99.4875,-47.1,180,bottom
MX39,1u,SW_MX_HS_1u,118.5375,-47.1,180,bottom
MX40,1u,SW_MX_HS_1u,137.5875,-47.1,180,bottom
MX41,1u,SW_MX_HS_1u,156.6375,-47.1,180,bottom
MX42,1u,SW_MX_HS_1u,175.6875,-47.1,180,bottom
MX43,1u,SW_MX_HS_1u,194.7375,-47.1,180,bottom
MX44,1u,SW_MX_HS_1u,213.7875,-47.1,180,bottom
MX45,1u,SW_MX_HS_1u,232.8375,-47.1,180,bottom
MX46,2.25u,SW_MX_HS_1u,263.79375,-47.1,-90,bottom
MX47,1u,SW_MX_HS_1u,294.75,-47.1,180,bottom
MX48,2.25u,SW_MX_HS_1u,20.90625,-66.15,180,bottom
MX49,1u,SW_MX_HS_1u,51.8625,-66.15,180,bottom
MX50,1u,SW_MX_HS_1u,70.9125,-66.15,180,bottom
MX51,1u,SW_MX_HS_1u,89.9625,-66.15,180,bottom
MX52,1u,SW_MX_HS_1u,109.0125,-66.15,180,bottom
MX53,1u,SW_MX_HS_1u,128.0625,-66.15,180,bottom
MX54,1u,SW_MX_HS_1u,147.1125,-66.15,180,bottom
MX55,1u,SW_MX_HS_1u,166.1625,-66.15,180,bottom
MX56,1u,SW_MX_HS_1u,185.2125,-66.15,180,bottom
MX57,1u,SW_MX_HS_1u,204.2625,-66.15,180,bottom
MX58,1u,SW_MX_HS_1u,223.3125,-66.15,180,bottom
MX59,1.75u,SW_MX_HS_1u,249.50625,-66.15,180,bottom
MX60,1u,SW_MX_HS_1u,275.7,-66.15,180,bottom
MX61,1u,SW_MX_HS_1u,294.75,-66.15,180,bottom
MX62,1.5u,SW_MX_HS_1u,13.7625,-85.2,0,bottom
MX63,1u,SW_MX_HS_1u,37.575,-85.2,0,bottom
MX64,1.5u,SW_MX_HS_1u,61.3875,-85.2,0,bottom
MX65,7u,SW_MX_HS_1u,142.35,-85.2,0,bottom
MX66,1.25u,SW_MX_HS_1u,201.88125,-85.2,180,bottom
MX67,1.5u,SW_MX_HS_1u,223.3125,-85.2,0,bottom
MX68,1u,SW_MX_HS_1u,256.65,-85.2,180,bottom
MX69,1u,SW_MX_HS_1u,275.7,-85.2,180,bottom
MX70,1u,SW_MX_HS_1u,294.75,-85.2,180,bottom
MX71,1.25u,SW_MX_HS_1u,11.38125,-85.2,180,bottom
MX72,1.25u,SW_MX_HS_1u,35.19375,-85.2,180,bottom
MX73,1.25u,SW_MX_HS_1u,59.00625,-85.2,180,bottom
MX74,6.25u,SW_MX_HS_1u,130.44375,-85.2,180,bottom
MX75,1.25u,SW_MX_HS_1u,225.69375,-85.2,180,bottom
MX76,1.25u,SW_MX_HS_1u,11.38125,-66.15,0,bottom
MX77,1u,SW_MX_HS_1u,32.8125,-66.15,0,bottom
MX78,1u,SW_MX_HS_1u,251.8875,-47.1,-90,bottom
MX79,ISO_Enter,SW_MX_HS_1u,273.31875,-37.575,-90,bottom
R1,10k,R_0805_2012Metric,49.71,-34.52,-90,bottom
R2,22,R_0805_2012Metric,32.34,-18.75375,0,bottom
R3,22,R_0805_2012Metric,32.34,-16.25375,0,bottom
R4,10k,R_0805_2012Metric,29.96184,-55.16372,180,bottom
SW1,Reset,SW_SPST_TL3342,55.24375,-35.485,0,bottom
U1,SRV05-4,SOT-23-6,38.22375,-17.50375,90,bottom
U2,ATmega32U4-MU,Package_DFN_QFN:QFN-44-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,28.55375,-37,-90,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,39.71036,-37.35875,180,bottom
