Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric,37.06876,-33.91408,270,bottom
C2,0.1u,C_0805_2012Metric,24.81072,-47.39132,270,bottom
C3,0.1u,C_0805_2012Metric,31.32836,-46.88332,0,bottom
C4,10u,C_0805_2012Metric,23.114,-27.4066,180,bottom
C5,22p,C_0805_2012Metric,39.86276,-34.64052,180,bottom
C6,22p,C_0805_2012Metric,42.83456,-37.27196,270,bottom
C7,1u,C_0805_2012Metric,29.1846,-21.4376,270,bottom
D1,1N4148,D_SOD-123,16.57096,-10.4,90,bottom
D2,1N4148,D_SOD-123,19.56816,-10.4,90,bottom
D3,1N4148,D_SOD-123,36.95192,-10.4,90,bottom
D4,1N4148,D_SOD-123,56.11876,-10.4,90,bottom
D5,1N4148,D_SOD-123,75.23988,-10.4,90,bottom
D6,1N4148,D_SOD-123,94.361,-10.4,90,bottom
D7,1N4148,D_SOD-123,113.411,-10.4,90,bottom
D8,1N4148,D_SOD-123,132.3594,-10.4,90,bottom
D9,1N4148,D_SOD-123,151.4348,-10.4,90,bottom
D10,1N4148,D_SOD-123,170.51528,-10.4,90,bottom
D11,1N4148,D_SOD-123,189.5856,-10.4,90,bottom
D12,1N4148,D_SOD-123,208.51368,-10.4,90,bottom
D13,1N4148,D_SOD-123,227.584,-10.4,90,bottom
D14,1N4148,D_SOD-123,264.18032,-16.54048,90,bottom
D15,1N4148,D_SOD-123,283.23032,-18.60296,90,bottom
D16,1N4148,D_SOD-123,286.02432,-18.60296,90,bottom
D17,1N4148,D_SOD-123,5.49656,-30.60192,90,bottom
D18,1N4148,D_SOD-123,45.95368,-27.89936,90,bottom
D19,1N4148,D_SOD-123,64.78524,-30,90,bottom
D20,1N4148,D_SOD-123,83.1596,-30,90,bottom
D21,1N4148,D_SOD-123,86.14156,-30,90,bottom
D22,1N4148,D_SOD-123,103.86568,-30,90,bottom
D23,1N4148,D_SOD-123,122.78868,-30,90,bottom
D24,1N4148,D_SOD-123,141.78788,-30,90,bottom
D25,1N4148,D_SOD-123,160.78708,-30,90,bottom
D26,1N4148,D_SOD-123,179.98948,-30,90,bottom
D27,1N4148,D_SOD-123,199.00392,-30,90,bottom
D28,1N4148,D_SOD-123,218.04376,-30,90,bottom
D29,1N4148,D_SOD-123,237.25124,-30,90,bottom
D30,1N4148,D_SOD-123,262.74776,-29.99232,90,bottom
D31,1N4148,D_SOD-123,286.25292,-30.07868,90,bottom
D32,1N4148,D_SOD-123,14.00048,-54.67604,180,bottom
D33,1N4148,D_SOD-123,50.275,-49,90,bottom
D34,1N4148,D_SOD-123,53.45,-49,90,bottom
D35,1N4148,D_SOD-123,70.47992,-49,90,bottom
D36,1N4148,D_SOD-123,89.55024,-49,90,bottom
D37,1N4148,D_SOD-123,108.51896,-49,90,bottom
D38,1N4148,D_SOD-123,127.56896,-49,90,bottom
D39,1N4148,D_SOD-123,146.66976,-49,90,bottom
D40,1N4148,D_SOD-123,165.6842,-49,90,bottom
